iso_code,year,model_fuel,generation_twh,capacity_gw,emissions_mtco2,irena_capacity_gw,irena_generation_twh,r10
AFG,2000,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2000,hydro,0.31,0.19,0.01,0.19150299999999998,0.45793900000000004,R10INDIA+
AFG,2000,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2000,oil,0.17,0.03,0.11,0.029725,0.03164,R10INDIA+
AFG,2000,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2000,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2001,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2001,coal,0.04,0.0,0.04,0.0,0.0,R10INDIA+
AFG,2001,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2001,hydro,0.5,0.19,0.01,0.19150299999999998,0.45793900000000004,R10INDIA+
AFG,2001,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2001,oil,0.15,0.03,0.1,0.029725,0.03164,R10INDIA+
AFG,2001,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2001,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2002,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2002,coal,0.04,0.0,0.04,0.0,0.0,R10INDIA+
AFG,2002,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2002,hydro,0.56,0.19,0.01,0.191506,0.457949,R10INDIA+
AFG,2002,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2002,oil,0.11,0.03,0.07,0.029725,0.03164,R10INDIA+
AFG,2002,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2002,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2003,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2003,coal,0.09,0.0,0.08,0.0,0.0,R10INDIA+
AFG,2003,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
